architecture,treatment,run
"GLIS2-1:673, 8, set1, minTK",Dexamethasone,run1
"NFATC1-3:1437, 4, set2, minProm",Dexamethasone,run1
"RFX2-1:1466, 4, set2, minTK",Dexamethasone,run1
"RFX2-2:801, 8, set1, minProm",Dexamethasone,run1
"SP4-1:17, 1, set1, minCMV",Dexamethasone,run1
"SP4-1:683, 8, set1, minProm",Dexamethasone,run1
"TBX4-1:1491, 4, set2, minTK",Dexamethasone,run1
