statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,logFC,architecture
0.18785307058487888,0.6647095274371888,1,1,60,5,4,-0.030527712424701457,"HNF4A-3:1611, 4, set2, minTK"
0.012404919481014076,0.9113171012001767,1,1,68,5,4,0.0076388625726288,"HNF4A-3:1944, 8, set2, minCMV"
0.16754941859471728,0.6822989636937687,1,1,61,5,4,-0.030540157376510817,"HNF4A-3:1944, 8, set2, minProm"
6.224513408008534,0.012599352843817873,0.061465627614558684,1,57,5,4,-0.18615555193625488,"HNF4A-3:1944, 8, set2, minTK"
0.003761344250960974,0.9510965592570441,1,1,88,5,4,-0.0020430650592917587,"HNF4A-3:279, 1, set1, minCMV"
7.266692271265583,0.007024505050523396,0.03722563418491346,1,63,5,4,-0.22452099691923502,"HNF4A-3:279, 1, set1, minProm"
1.2135484443724636,0.27063049851558574,0.6037822455077108,1,79,5,4,-0.07091463860645753,"HNF4A-3:279, 1, set1, minTK"
1.1781954967227648,0.27772366292187023,0.612887921856691,1,78,5,4,-0.07517170081719883,"HNF4A-3:612, 4, set1, minCMV"
3.135135670892396,0.07662201138902502,0.25857823843483063,1,68,5,4,-0.10550466018764115,"HNF4A-3:612, 4, set1, minProm"
1.839850100923286,0.17496851735120258,0.45925497161157536,1,92,5,4,-0.07470931532973318,"HNF4A-3:612, 4, set1, minTK"
1.2884969453461963,0.2563251293375302,0.584296698925826,1,59,5,4,-0.08518796624312476,"HNF4A-3:945, 8, set1, minCMV"
-420.7279514550505,1,1,1,73,5,4,-0.45718619297462826,"HNF4A-3:945, 8, set1, minProm"
0.4721728619761052,0.4919892451821831,0.858953366659741,1,77,5,4,-0.05145779296975873,"HNF4A-3:945, 8, set1, minTK"
0.029097612365831083,0.8645538500070638,1,1,16,5,4,-0.02695501619676128,"HNF4A-4:1279, 1, set2, minCMV"
-25.308614597788164,1,1,1,27,5,4,0.3451894019679305,"HNF4A-4:1279, 1, set2, minProm"
0.9564739615244662,0.3280768623864372,0.6755105896002337,1,21,5,4,-0.15308979390401903,"HNF4A-4:1279, 1, set2, minTK"
7.816729183072539,0.00517647950515542,0.02874677859011265,1,16,5,4,-0.1203965959399796,"HNF4A-4:1612, 4, set2, minCMV"
-1.4177610529956723,1,1,1,24,5,4,0.10512060655942981,"HNF4A-4:1612, 4, set2, minProm"
0.6526264227686625,0.41917522712406846,0.7873315733932809,1,17,5,4,-0.10194112107870104,"HNF4A-4:1612, 4, set2, minTK"
0.8941607522401682,0.34435226862585533,0.6966441481884069,1,22,5,4,-0.12427812363435625,"HNF4A-4:1945, 8, set2, minCMV"
-27.669498012881036,1,1,1,32,5,4,0.08146193762588355,"HNF4A-4:1945, 8, set2, minProm"
1.1548537189399326,0.28253539645244957,0.618699249060869,1,23,5,4,-0.06691647070981514,"HNF4A-4:1945, 8, set2, minTK"
0.6515003541771875,0.419576774045733,0.7876040789085856,1,64,5,4,-0.04198137946928624,"HNF4A-4:280, 1, set1, minCMV"
0.8207214904250577,0.3649693034304857,0.723674322514588,1,60,5,4,-0.06529136735446993,"HNF4A-4:280, 1, set1, minProm"
1.243815328315577,0.26473701200061606,0.596265026662187,1,67,5,4,-0.07362407166118597,"HNF4A-4:280, 1, set1, minTK"
0.6648959253943758,0.414836799950098,0.7824795598437014,1,65,5,4,0.05674448556840924,"HNF4A-4:613, 4, set1, minCMV"
0.7601427043391595,0.3832838673836473,0.7461583243963111,1,60,5,4,0.046748948821778775,"HNF4A-4:613, 4, set1, minProm"
-197.45498137297477,1,1,1,79,5,4,-0.45712163131937433,"HNF4A-4:613, 4, set1, minTK"
0.02257482165532565,0.8805680116067217,1,1,86,5,4,-0.009013875518838577,"HNF4A-4:946, 8, set1, minCMV"
0.3323641722154207,0.5642702828242661,0.930599262161714,1,80,5,4,-0.03490371419755513,"HNF4A-4:946, 8, set1, minProm"
3.51114362734279,0.06095736405897451,0.21830911373190756,1,80,5,4,-0.11729580659805346,"HNF4A-4:946, 8, set1, minTK"
0.405241176968957,0.5243948325339268,0.8921975239399941,1,97,5,4,-0.03068777683179033,"HNF4A-5:1280, 1, set2, minCMV"
8.573489841554874,0.0034109274512226593,0.020144150389816897,1,103,5,4,-0.09472701317990231,"HNF4A-5:1280, 1, set2, minProm"
0.7239686135853844,0.39484520933267436,0.7576192676417638,1,102,5,4,0.03248757799958534,"HNF4A-5:1280, 1, set2, minTK"
0.17073045655342867,0.6794634421506864,1,1,94,5,4,-0.023116646934657186,"HNF4A-5:1613, 4, set2, minCMV"
0.010606890441067662,0.9179710989340792,1,1,75,5,4,-0.006695611246954625,"HNF4A-5:1613, 4, set2, minProm"
0.018910594447334006,0.8906231070980469,1,1,103,5,4,0.004435000820845095,"HNF4A-5:1613, 4, set2, minTK"
0.5375484204596432,0.46345052008529936,0.8306136837945458,1,95,5,4,0.03041966804410223,"HNF4A-5:1946, 8, set2, minCMV"
