statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
963.7711163214317,5.2451894852655516e-210,6.078481852547362e-208,2,105,7,5,"AR-2:1600, 4, set2, minTK"
1686.3170511577537,0,0,2,105,7,5,"AR-2:1933, 8, set2, minCMV"
1219.0867551383435,1.8996545887490148e-265,3.763767252934338e-263,2,105,7,5,"AR-2:1933, 8, set2, minProm"
985.7127478974598,9.019789934902716e-215,1.0862656819641664e-212,2,105,7,5,"AR-2:1933, 8, set2, minTK"
1750.3411295947299,0,0,2,105,7,5,"AR-2:268, 1, set1, minCMV"
802.0135120400737,6.998075998522285e-175,5.73095770438985e-173,2,105,7,5,"AR-2:268, 1, set1, minProm"
957.3800738315695,1.2810274188970822e-208,1.3803632292747156e-206,2,105,7,5,"AR-2:268, 1, set1, minTK"
1712.5291328085677,0,0,2,105,7,5,"AR-2:601, 4, set1, minCMV"
971.4226727391542,1.1435280363174372e-211,1.350682538281096e-209,2,105,7,5,"AR-2:601, 4, set1, minProm"
959.7747631388374,3.8686393897091776e-209,4.3202151148352306e-207,2,105,7,5,"AR-2:601, 4, set1, minTK"
1308.8915702531704,5.995243331427154e-285,1.3150994479151993e-282,2,105,7,5,"AR-2:934, 8, set1, minCMV"
1213.6614382088446,2.862643349360655e-264,5.494486078679107e-262,2,105,7,5,"AR-2:934, 8, set1, minProm"
875.9486499977775,6.168327694270148e-191,6.013629952096389e-189,2,105,7,5,"AR-2:934, 8, set1, minTK"
5.046192300826078,0.08021087695598508,0.14421990815680924,2,51,7,5,"ARNTL-1:1168, 1, set2, minCMV"
41.64502293296937,9.055202581816269e-10,7.67131782862283e-9,2,63,7,5,"ARNTL-1:1168, 1, set2, minProm"
14.675169534400084,6.506200236454023e-4,0.0022462665459415743,2,72,7,5,"ARNTL-1:1168, 1, set2, minTK"
10.648363560403595,0.004872336025499439,0.0132944859478532,2,68,7,5,"ARNTL-1:1501, 4, set2, minCMV"
14.778158428830466,6.17964704612393e-4,0.002149229453980361,2,63,7,5,"ARNTL-1:1501, 4, set2, minProm"
17.0461111530185,1.9883095303126433e-4,7.83838070293983e-4,2,69,7,5,"ARNTL-1:1501, 4, set2, minTK"
7.289529483912702,0.02612755584861682,0.05612992235823872,2,31,7,5,"ARNTL-1:169, 1, set1, minCMV"
9.859036938007193,0.007229983904648794,0.018744854851140944,2,39,7,5,"ARNTL-1:169, 1, set1, minProm"
17.577504987154953,1.5243801652172487e-4,6.135480324223029e-4,2,40,7,5,"ARNTL-1:169, 1, set1, minTK"
3.509830704025262,0.17292187916125992,0.26895066644934373,2,36,7,5,"ARNTL-1:1834, 8, set2, minCMV"
4.53233828634302,0.10370871329968569,0.17852548124626386,2,41,7,5,"ARNTL-1:1834, 8, set2, minProm"
12.353762639022989,0.0020768949367330953,0.006234745210857611,2,41,7,5,"ARNTL-1:1834, 8, set2, minTK"
8.594437112526975,0.013606351730473623,0.03222916017299229,2,41,7,5,"ARNTL-1:502, 4, set1, minCMV"
23.42473923067155,8.191859707723705e-6,4.178937070169352e-5,2,44,7,5,"ARNTL-1:502, 4, set1, minProm"
37.053582323356295,8.993253411344954e-9,6.836208224316919e-8,2,42,7,5,"ARNTL-1:502, 4, set1, minTK"
13.088438050563582,0.0014384070035364893,0.004561020039091955,2,28,7,5,"ARNTL-1:835, 8, set1, minCMV"
7.640034600060972,0.021927421545919038,0.04839318114805417,2,28,7,5,"ARNTL-1:835, 8, set1, minProm"
1.3824558827523106,0.5009605410510621,0.6034319755119874,2,21,7,5,"ARNTL-1:835, 8, set1, minTK"
0.41725796450737107,0.8116963335279854,0.8670550931675418,2,78,7,5,"Ascl2-1:1169, 1, set2, minCMV"
4.074365861983551,0.13039552716082725,0.21506158104774462,2,55,7,5,"Ascl2-1:1169, 1, set2, minProm"
10.05921666116501,0.006541372124284726,0.017213842153966062,2,56,7,5,"Ascl2-1:1169, 1, set2, minTK"
8.016273465975246,0.01816721409096162,0.04123541350579685,2,48,7,5,"Ascl2-1:1502, 4, set2, minCMV"
3.2885488681517927,0.1931526569498757,0.2928520412209668,2,61,7,5,"Ascl2-1:1502, 4, set2, minProm"
9.113170499132593,0.010497845329756433,0.02574990655565655,2,67,7,5,"Ascl2-1:1502, 4, set2, minTK"
2.126924595341052,0.3452583513609231,0.4564306487427442,2,22,7,5,"Ascl2-1:170, 1, set1, minCMV"
1.4159434034490914,0.49264241053351904,0.5959837867829179,2,25,7,5,"Ascl2-1:170, 1, set1, minProm"
16.055575758002988,3.262691580687959e-4,0.0012123080271376555,2,29,7,5,"Ascl2-1:170, 1, set1, minTK"
1.740959463800209,0.41875061302647787,0.5289934728935884,2,49,7,5,"Ascl2-1:1835, 8, set2, minCMV"
2.1112132462785667,0.3479812697758677,0.4591409149223156,2,42,7,5,"Ascl2-1:1835, 8, set2, minProm"
19.33511318237015,6.330434491103051e-5,2.7536493374189056e-4,2,62,7,5,"Ascl2-1:1835, 8, set2, minTK"
3.1807821457653063,0.2038458775493407,0.3055201024665814,2,32,7,5,"Ascl2-1:503, 4, set1, minCMV"
3.0750252238640314,0.21491501416948036,0.31838109431474876,2,39,7,5,"Ascl2-1:503, 4, set1, minProm"
4.89475739235786,0.08652008493831324,0.1536300554180746,2,27,7,5,"Ascl2-1:503, 4, set1, minTK"
2.26638281271471,0.32200396934434555,0.4331468199108564,2,32,7,5,"Ascl2-1:836, 8, set1, minCMV"
30.241654332113512,2.7108669321637154e-7,1.7434706489371246e-6,2,30,7,5,"Ascl2-1:836, 8, set1, minProm"
1.3793276399260321,0.5017447172739965,0.6042580497052719,2,36,7,5,"Ascl2-1:836, 8, set1, minTK"
45.04963232031696,1.6504282006374032e-10,1.495122420105447e-9,2,67,7,5,"ATF4-1:1185, 1, set2, minCMV"
52.55947623322754,3.862377781197342e-12,3.947208707506501e-11,2,67,7,5,"ATF4-1:1185, 1, set2, minProm"
16.56791553901803,2.52535741313659e-4,9.633351559267875e-4,2,78,7,5,"ATF4-1:1185, 1, set2, minTK"
18.19906390342294,1.1171808571384411e-4,4.6051844460028897e-4,2,105,7,5,"Atf4-1:1187, 1, set2, minCMV"
17.016008476471143,2.0184626024459003e-4,7.921659619311642e-4,2,75,7,5,"Atf4-1:1187, 1, set2, minProm"
17.973490099260744,1.2505648413693786e-4,5.113827733482506e-4,2,88,7,5,"Atf4-1:1187, 1, set2, minTK"
57.258817612929306,3.684730550920929e-13,4.034155979279206e-12,2,66,7,5,"ATF4-1:1518, 4, set2, minCMV"
71.00010948097861,3.8240372926951074e-16,5.083817543665227e-15,2,61,7,5,"ATF4-1:1518, 4, set2, minProm"
33.203975626174724,6.163796673995109e-8,4.326633048191767e-7,2,66,7,5,"ATF4-1:1518, 4, set2, minTK"
17.52235300819484,1.5670014173597855e-4,6.295553946314498e-4,2,87,7,5,"Atf4-1:1520, 4, set2, minCMV"
16.50876454838908,2.60116155654784e-4,9.89246704663581e-4,2,91,7,5,"Atf4-1:1520, 4, set2, minProm"
41.05508154330164,1.2161924858430616e-9,1.0135487446469583e-8,2,100,7,5,"Atf4-1:1520, 4, set2, minTK"
39.19825422569829,3.07756507448949e-9,2.4644595420488195e-8,2,61,7,5,"ATF4-1:1851, 8, set2, minCMV"
37.412559950065315,7.515637589942522e-9,5.784592240279069e-8,2,48,7,5,"ATF4-1:1851, 8, set2, minProm"
66.41717436166527,3.7817588818960835e-15,4.7793339614415116e-14,2,68,7,5,"ATF4-1:1851, 8, set2, minTK"
0.6739349992076313,0.7139320425999028,0.785977882353218,2,102,7,5,"Atf4-1:1853, 8, set2, minCMV"
16.011571243145227,3.335273718137013e-4,0.0012370320758935708,2,78,7,5,"Atf4-1:1853, 8, set2, minProm"
27.20200966467928,1.2392492164300165e-6,7.2490177974411064e-6,2,105,7,5,"Atf4-1:1853, 8, set2, minTK"
39.191703181804314,3.0876622341405496e-9,2.469325708605632e-8,2,36,7,5,"ATF4-1:186, 1, set1, minCMV"
107.85108365942233,3.805701747919806e-24,6.814758057062229e-23,2,30,7,5,"ATF4-1:186, 1, set1, minProm"
17.468322408139784,1.6099114345810323e-4,6.454357722713251e-4,2,31,7,5,"ATF4-1:186, 1, set1, minTK"
11.297813397077334,0.0035213645841668684,0.00992575551902382,2,79,7,5,"Atf4-1:188, 1, set1, minCMV"
23.22613833250489,9.047074010808163e-6,4.584746582044863e-5,2,74,7,5,"Atf4-1:188, 1, set1, minProm"
